"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_21",2500,0.059742648,0.068203014,0.253721806,0.737737815,0,0,0.040631944,0,0,0.276827623,0.455191812,7.337435511,0,0,0.83110752
"LU2_24",250,0,0,2.49008824,2.488845934,0,0,0,0,0,0,1.399853051,39.18434682,0,0,0.678437877
"LU2_24",500,0,0,1.285345509,1.285379019,0,0,0,0,0,0,1.456563499,37.74897916,0,0,0.36182315
"LU2_24",750,0,0,1.158553079,1.152210869,0,0,0,0,0,0.216379751,1.266622051,37.69232333,0,0,0.621893933
"LU2_24",1000,0,0.11923443,1.053951099,1.002864566,0,0,0,0,0,0.430820456,1.190055953,36.10406702,0,0,0.739383395
"LU2_24",1250,0.314182398,0.574389693,0.835528325,0.780154233,0,0,0,0,0,0.507545204,1.052688496,37.38942686,0,0,0.932048032
"LU2_24",1500,0.218178329,0.398874616,0.690048634,0.633903561,0,0,0,0,0,0.467026925,1.076845883,37.71037534,0,0,0.961363869
"LU2_24",1750,0.160292374,0.293047174,0.592025023,0.537897399,0,0,0,0,0,0.49704831,0.994209196,35.47280056,0,0,1.005371868
"LU2_24",2000,0.122722602,0.224362045,0.549768419,0.507794594,0,0,0,0,0,0.416874087,0.916756292,33.32772631,0,0,1.066580789
"LU2_24",2250,0.096965305,0.177272412,0.46653685,0.440993515,0,0,0,0,0,0.394533919,0.837710442,32.25104725,0,0,0.98231153
"LU2_24",2500,0.078541435,0.14358981,0.461826068,0.560147792,0,0,0,0,0,0.469637009,0.793273006,30.34750303,0,0,0.929552882
"LU2_25",250,0,0,1.063850495,2.61812545,0,0,0,0,0,0,0,0,0,0,2.125252959
"LU2_25",500,0.152561221,0,1.305822495,3.888950667,0,0,0,0,0,0,0,4.700356119,0,0,1.724744358
"LU2_25",750,0.136352039,0,0.899523945,2.543480848,0,0,0,0,0,0.31300266,0,9.193972149,0,0,1.913626148
"LU2_25",1000,0.076694622,0,0.675172854,1.895707807,0,0,0,0,0,0.2544984,0,7.855873986,0,0,1.871354824
"LU2_25",1250,0.049083272,0,0.544492088,1.546507591,0,0,0,0,0,0.16287471,0,9.942055257,0,0,1.800490122
"LU2_25",1500,0.034084998,0,0.459414036,1.315337401,0,0,0,0,0,0.274075489,0,11.34032293,0,0,1.634593566
"LU2_25",1750,0.056283921,0.047533904,0.394952606,1.137636872,0,0,0.082925361,0,0,0.201359122,0.203693405,12.93042996,0,0,1.476196241
"LU2_25",2000,0.043091954,0.042927322,0.344942294,0.998230151,0,0,0.063489107,0,0,0.154164065,0.384646398,15.53215068,0,0,1.381993135
"LU2_25",2250,0.034047714,0.033917635,0.305488686,0.887671902,0,0,0.050163879,0,0,0.12180776,0.603773396,15.95309732,0,0,1.31122873
"LU2_25",2500,0.027578486,0.027473123,0.2846807,0.808941077,0,0,0.116532458,0,0,0.160273372,0.631143332,14.49290577,0,0,1.326895069
"LU2_26",250,0,0,2.247056107,2.370742599,0,0,0,0,0,0,0,0,0,0,0
"LU2_26",500,0,0,1.237677116,1.267980803,0,0,0,0,0,0,0,0,0,0,0.8222828
"LU2_26",750,0,0,0.840295632,0.856651502,0,0,0,0,0,0,0,0.227986956,0,0,1.320922159
"LU2_26",1000,0,0,0.635038619,0.64397385,0,0,0,0,0,0,0,4.866632385,0,0,1.104908318
"LU2_26",1250,0,0,0.509112938,0.514899436,0,0,0,0,0,0,0,9.539475051,0,0,1.054980598
"LU2_26",1500,0,0,0.426678124,0.432151591,0,0,0,0,0,0,0,14.68129267,0,0,1.014406218
"LU2_26",1750,0,0.103101324,0.370404727,0.374480837,0,0,0,0,0,0,0.002850393,15.64974168,0,0,0.952384265
"LU2_26",2000,0,0.090527527,0.329390682,0.335543306,0,0,0,0,0,0.071839998,0.039304354,15.64271786,0,0,0.879407322
"LU2_26",2250,0,0.071527408,0.293179801,0.308771431,0,0,0,0,0,0.143677262,0.060546867,14.88102008,0,0,0.888911902
"LU2_26",2500,0.002490697,0.057936852,0.263907863,0.284341927,0,0,0,0,0,0.162946945,0.194556078,14.86457646,0,0,0.898502284
